1.0,0.1,0.11104,
1.0,0.2,0.25012,
1.0,0.3,0.42901,
1.0,0.4,0.6673,
1.0,0.5,1.00103,
1.0,0.6,1.49976,
1.0,0.7,2.33419,
1.0,0.8,4.00443,
1.0,0.9,9.00056,
1.0,1.0,700.28189,
10.0,0.1,0.61242,
10.0,0.2,1.37654,
10.0,0.3,2.3599,
10.0,0.4,3.67624,
10.0,0.5,5.50209,
10.0,0.6,8.25079,
10.0,0.7,12.76333,
10.0,0.8,21.91181,
10.0,0.9,49.72526,
10.0,1.0,1723.2165,
20.0,0.1,1.15994,
20.0,0.2,2.62963,
20.0,0.3,4.5034,
20.0,0.4,7.00422,
20.0,0.5,10.46842,
20.0,0.6,15.76855,
20.0,0.7,24.62936,
20.0,0.8,42.19197,
20.0,0.9,93.45945,
20.0,1.0,2482.18128,
50.0,0.1,2.84578,
50.0,0.2,6.3911,
50.0,0.3,10.92166,
50.0,0.4,16.9501,
50.0,0.5,25.44638,
50.0,0.6,38.29702,
50.0,0.7,59.246,
50.0,0.8,102.14461,
50.0,0.9,228.7859,
50.0,1.0,3777.70005,
