1.0,0.0,0.0,
1.0,0.1,0.21099,
1.0,0.2,0.4502,
1.0,0.3,0.7287,
1.0,0.4,1.06702,
1.0,0.5,1.4995,
1.0,0.6,2.09937,
1.0,0.7,3.03667,
1.0,0.8,4.79587,
1.0,0.9,9.8796,
1.0,1.0,762.48984,
10.0,0.0,0.0,
10.0,0.1,0.91302,
10.0,0.2,1.81381,
10.0,0.3,2.88478,
10.0,0.4,4.2839,
10.0,0.5,6.18759,
10.0,0.6,9.00756,
10.0,0.7,13.65039,
10.0,0.8,22.86917,
10.0,0.9,50.51628,
10.0,1.0,1663.78181,
20.0,0.0,0.0,
20.0,0.1,1.55474,
20.0,0.2,3.12194,
20.0,0.3,5.08053,
20.0,0.4,7.6722,
20.0,0.5,11.2059,
20.0,0.6,16.60043,
20.0,0.7,25.43802,
20.0,0.8,42.96647,
20.0,0.9,94.57877,
20.0,1.0,2718.13015,
50.0,0.0,0.0,
50.0,0.1,3.29908,
50.0,0.2,6.9187,
50.0,0.3,11.52047,
50.0,0.4,17.70588,
50.0,0.5,26.33149,
50.0,0.6,39.06027,
50.0,0.7,60.27823,
50.0,0.8,103.4825,
50.0,0.9,226.61512,
50.0,1.0,3574.26975,
